facility,flood_present,flood_pct,flood_months,exclusion_present,exclusion_pct,exclusion_suffix,likelihood_present,likelihood_mean,likelihood_max,lon,lat,HEFAS_months,HEFAS_flood_days_any,HEFAS_any_flood_any,HEFAS_level_mean,HEFAS_level_max,HEFAS_min_dist_km,AI observation
3M_CO-VALLEY,0,0.0,,1,17.0,2019-12,1,18.4,49.0,-96.33793,41.30694,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
3M_CO_-_WAUSAU_DOWNTOWN,0,0.0,,1,66.0,2019-12,1,15.8,49.0,-89.637722,44.950111,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
3M_CO_DBA_3M_CLINTON,0,0.0,,1,81.0,2019-12,1,8.5,49.0,-84.106226,36.095239,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
3M_Wroc_aw_IATD,0,0.0,,1,47.0,2019-12,1,24.9,49.0,17.125009,51.124939,,3.0,True,-1.3279569892473118,2.0,5.0,Medium likelihood. GFM negative 0% HEFAS positive 5km web: no specific 2019 flood news found
3P_PROCESSING_LLC,0,0.0,,1,50.0,2019-12,1,18.5,49.0,-97.383264,37.663307,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
409_-_RED_WING_OILSEEDS_PLANT,1,1.0,2019-03_2019-05_2019-06_2019-09_2019-10_2019-11,1,70.0,2019-12,1,16.0,100.0,-92.533275,44.568294,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 1% HEFAS negative ?km web: no specific 2019 flood news found
AAON_INC,0,0.0,,1,54.0,2019-12,1,14.9,49.0,-96.015918,36.126186,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
AAR_LANDING_GEAR_SERVICES,0,0.0,,1,45.0,2019-12,1,9.3,49.0,-80.349173,25.86385,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
ABBOTT_LABORATORIES,0,0.0,,1,95.0,2019-12,1,3.7,45.0,-79.267743,37.130566,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
ABB_MOTORS_MECHANICAL_INC.,0,0.0,,1,81.0,2019-12,1,10.5,49.0,-88.440849,33.478234,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
ABB_SI_Beloeil,1,23.0,2019-01_2019-02_2019-03,1,3.0,2019-12,1,43.0,100.0,-73.227363,45.594959,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 23% HEFAS negative ?km web: no specific 2019 flood news found
ABGS0154260_Pipestone_South_Gas_Battery_14-17,1,17.0,2019-02_2019-03_2019-04_2019-05_2019-06_2019-07_2019-08_2019-09_2019-10_2019-11_2019-12,1,56.0,2019-12,1,31.5,100.0,-119.186002,55.066964,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 17% HEFAS negative ?km web: no specific 2019 flood news found
ACME_BRICK_CO-BENNETT_PLANT,0,0.0,,1,72.0,2019-12,1,9.4,49.0,-98.049458,32.718637,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific 2019 flood news found
