facility,flood_present,flood_pct,flood_months,exclusion_present,exclusion_pct,exclusion_suffix,likelihood_present,likelihood_mean,likelihood_max,lon,lat,HEFAS_months,HEFAS_flood_days_any,HEFAS_any_flood_any,HEFAS_level_mean,HEFAS_level_max,HEFAS_min_dist_km,AI observation
3M_CO-VALLEY,0,0.0,,1,16.0,2021-12,1,19.6,49.0,-96.33793,41.30694,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
3M_CO_-_WAUSAU_DOWNTOWN,0,0.0,,1,66.0,2019-12,1,15.8,49.0,-89.637722,44.950111,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
3M_CO_DBA_3M_CLINTON,0,0.0,,1,81.0,2021-12,1,9.1,49.0,-84.106209,36.095328,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
3M_Wroc_aw_IATD,0,0.0,,1,35.0,2021-12,1,31.3,49.0,17.124996,51.125028,,2.0,True,-1.329689366786141,2.0,5.0,Medium likelihood. GFM negative 0% HEFAS positive 5km web: no specific flood news found for this year
3P_PROCESSING_LLC,0,0.0,,1,48.0,2021-12,1,19.3,34.0,-97.383264,37.663307,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
409_-_RED_WING_OILSEEDS_PLANT,1,1.0,2021-03,1,70.0,2021-12,1,11.2,100.0,-92.533275,44.568294,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 1% HEFAS negative ?km web: no specific flood news found for this year
AAON_INC,0,0.0,,1,48.0,2021-12,1,16.4,49.0,-96.015918,36.126186,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AAR_LANDING_GEAR_SERVICES,0,0.0,,1,62.0,2021-12,1,12.0,49.0,-80.349156,25.863938,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABBOTT_LABORATORIES,0,0.0,,1,87.0,2021-12,1,7.3,49.0,-79.267851,37.130587,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABB_MOTORS_MECHANICAL_INC.,0,0.0,,1,74.0,2021-12,1,11.8,49.0,-88.440838,33.478323,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABB_SI_Beloeil,0,0.0,,0,0.0,2021-12,1,36.0,49.0,-73.227402,45.594875,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABGS0154260_Pipestone_South_Gas_Battery_14-17,1,31.0,2021-04_2021-05_2021-06_2021-10_2021-11,1,25.0,2021-12,1,46.5,100.0,-119.186002,55.066964,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 31% HEFAS negative ?km web: no specific flood news found for this year
ACME_BRICK_CO-BENNETT_PLANT,0,0.0,,1,68.0,2021-12,1,13.3,49.0,-98.049354,32.718728,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ACRA_AEROSPACE,0,0.0,,1,54.0,2021-12,1,15.5,49.0,-117.887122,33.856405,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ACTAGRO_LLC,1,2.0,2021-05,1,19.0,2021-12,1,32.2,80.0,-89.989111,35.689991,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 2% HEFAS negative ?km web: no specific flood news found for this year
ADM,0,0.0,,1,60.0,2021-12,1,17.6,49.0,-96.498687,41.430588,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ADM_ALLIANCE_NUTRITION_INC,0,0.0,,1,30.0,2021-12,1,22.7,49.0,-99.987942,40.854605,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ADM_ANIMAL_NUTRITION_INC,0,0.0,,1,10.0,2021-12,1,33.2,49.0,-97.252439,41.436602,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ADM_PROCESSING,1,5.0,2021-03,1,52.0,2021-12,1,23.8,98.0,-100.924677,48.06205,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 5% HEFAS negative ?km web: no specific flood news found for this year
ADM_QUINCY,0,0.0,,1,61.0,2021-12,1,14.8,49.0,-91.410563,39.903906,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AES_BEAVER_VALLEY_LLC,0,0.0,,1,88.0,2021-12,1,7.2,49.0,-80.34948,40.655489,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AES_Huntington_Beach,0,0.0,,1,45.0,2021-12,1,20.5,49.0,-117.978804,33.643655,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AFTON_CHEMICAL_CORP_0,0,0.0,,1,52.0,2021-12,1,18.7,49.0,-90.167537,38.602633,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AFTON_CHEMICAL_CORP_1,0,0.0,,1,64.0,2021-12,1,14.2,49.0,-90.172916,38.600508,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AGILENT_TECHNOLOGIES_INC,0,0.0,,1,66.0,2021-12,1,13.9,49.0,-121.186965,38.652906,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AGRANA_St_rke_GmbH,0,0.0,,1,55.0,2021-12,1,17.7,49.0,14.014991,48.362391,,3.0,True,-0.003584229390681,2.0,24.6,Medium likelihood. GFM negative 0% HEFAS positive 25km web: no specific flood news found for this year
AGRANA_Zucker_GmbH_0,1,1.0,2021-05,1,21.0,2021-12,1,27.6,83.0,16.702782,48.243038,,3.0,True,-0.3673835125448028,2.0,16.1,High likelihood. GFM positive 1% HEFAS positive 16km web: no specific flood news found for this year
AGRANA_Zucker_GmbH_1,0,0.0,,1,38.0,2021-12,1,23.3,49.0,16.038455,48.324787,,11.0,True,0.0450716845878136,5.0,21.8,Medium likelihood. GFM negative 0% HEFAS positive 22km web: no specific flood news found for this year
AGRANA_Zucker_GmbH_2,1,1.0,2021-05,1,21.0,2021-12,1,27.6,83.0,16.702782,48.243038,,3.0,True,-0.3673835125448028,2.0,16.1,High likelihood. GFM positive 1% HEFAS positive 16km web: no specific flood news found for this year
AGRANA_Zucker_GmbH_3,0,0.0,,1,38.0,2021-12,1,23.3,49.0,16.038455,48.324787,,11.0,True,0.0450716845878136,5.0,21.8,Medium likelihood. GFM negative 0% HEFAS positive 22km web: no specific flood news found for this year
AGRIUM_US_INC,0,0.0,,1,49.0,2021-12,1,19.0,49.0,-89.569141,36.531375,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AGRIUM_US_INC_KENNEWICK_FERTILIZER_OPERATION,1,2.0,2021-10,1,19.0,2021-12,1,15.7,81.0,-119.017208,46.165999,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 2% HEFAS negative ?km web: no specific flood news found for this year
AIR_LIQUIDE_FRANCE_INDUSTRIE_0,0,0.0,,1,69.0,2021-12,1,22.1,49.0,4.770005,45.344286,,0.0,False,-1.0,-1.0,51.1,Low likelihood. GFM negative 0% HEFAS negative 51km web: no specific flood news found for this year
AIR_LIQUIDE_FRANCE_INDUSTRIE_1,0,0.0,,1,67.0,2021-12,1,17.3,49.0,4.845003,45.689235,,0.0,False,-1.0,-1.0,22.5,Low likelihood. GFM negative 0% HEFAS negative 22km web: no specific flood news found for this year
AIR_PRODUCTS_AND_CHEMICALS_INCORPORATED,0,0.0,,1,39.0,2021-12,1,17.4,49.0,-121.398877,38.529727,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_AND_CHEMICALS_INC_-_GARYVILLE,0,0.0,,1,100.0,2021-12,1,14.9,33.0,-90.648793,30.0996,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMCIALS_INC_NORCO_SMR,0,0.0,,1,58.0,2021-12,1,17.8,49.0,-90.408769,30.01694,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC,0,0.0,,1,81.0,2021-12,1,14.0,49.0,-90.993879,30.205831,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC.,0,0.0,,1,68.0,2021-12,1,10.6,49.0,-74.783222,40.191674,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_-_CONVENT_SMR,0,0.0,,1,33.0,2021-12,1,23.9,49.0,-90.884017,30.108236,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_-_GARYVILLE_SMR,0,0.0,,1,41.0,2021-12,1,18.2,49.0,-90.58815,30.062725,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_-_Geismar_SMR,0,0.0,,1,75.0,2021-12,1,16.1,49.0,-90.988337,30.183747,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_-_INDUSTRIAL_GAS_PRODUCTION_FACILITY,0,0.0,,1,47.0,2021-12,1,14.7,49.0,-89.900981,30.022264,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_LULING_SMR,0,0.0,,1,56.0,2021-12,1,19.2,49.0,-90.350777,29.921714,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AIR_PRODUCTS_CHEMICALS_INC_NEW_ORLEANS_LA_FACILITY,0,0.0,,1,54.0,2021-12,1,14.5,49.0,-89.900451,30.029001,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AJF_Northern_Processing,0,0.0,,1,70.0,2021-12,1,14.5,49.0,-122.746895,53.88455,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AJF_Vancouver,0,0.0,,1,63.0,2021-12,1,18.7,49.0,-122.946539,49.175235,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ALCOA_USA_CORP.,0,0.0,,1,56.0,2021-12,1,17.3,49.0,-74.893531,44.965841,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ALEXANDER_BOOSTER,0,0.0,,1,40.0,2021-12,1,24.2,49.0,-110.333573,54.407849,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ALLEGHENY_ENERGY_INC_ARMSTRONG_POWER_STATION,0,0.0,,1,82.0,2021-12,1,4.1,49.0,-79.467114,40.92942,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ALLEGHENY_ENERGY_INC_R._PAUL_SMITH_POWER_STATION,0,0.0,,1,74.0,2021-12,1,7.5,49.0,-77.827152,39.595292,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
